transaction_id,date,account,category,description,amount,currency,status,source,source_version,amount_status
TX-1045,2026-08-06,operations,facilities,window repair estimate,,USD,pending,operations-ledger,ledger-2026-08-11-v2,unknown
TX-1046,2026-08-07,operations,supplies,sensory room materials,520.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1047,2026-08-07,marketing,marketing,referral event signage,430.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1048,2026-08-07,finance,insurance,workers compensation installment,1100.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1049,2026-08-07,technology,software,device management renewal,456.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1050,2026-08-07,finance,professional-services,background screening invoice,275.00,USD,pending,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1051,2026-08-08,operations,staffing,weekend workshop instructors,900.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1052,2026-08-08,operations,supplies,workshop refreshments,310.25,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1053,2026-08-08,operations,facilities,weekend cleaning,360.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1054,2026-08-08,finance,refunds,disputed card fee,85.00,USD,disputed,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1055,2026-08-09,technology,software,domain renewal,96.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1056,2026-08-09,operations,utilities,weekend security monitoring,140.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1057,2026-08-09,finance,professional-services,emergency translation,260.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1058,2026-08-09,marketing,marketing,community fair booth,475.00,USD,pending,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1059,2026-08-10,operations,staffing,substitute instructor hours,720.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1060,2026-08-10,operations,supplies,damaged goods credit,-125.50,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1061,2026-08-10,operations,facilities,repair invoice original,980.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1062,2026-08-10,operations,facilities,repair invoice correction,-180.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1063,2026-08-10,finance,insurance,claim deductible review,600.00,USD,disputed,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1064,2026-08-10,finance,professional-services,accreditation filing,410.00,USD,pending,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1065,2026-08-11,operations,staffing,payroll correction,350.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1066,2026-08-11,technology,software,prorated license credit,-75.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1067,2026-08-11,operations,utilities,meter correction,125.35,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1068,2026-08-11,finance,professional-services,compliance consultation,800.00,USD,posted,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1069,2026-08-11,finance,insurance,premium adjustment,500.00,USD,pending,operations-ledger,ledger-2026-08-11-v2,confirmed
TX-1070,2026-08-11,marketing,marketing,placement duplicate under review,450.00,USD,disputed,operations-ledger,ledger-2026-08-11-v2,confirmed
